t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1309978,0.3004,-0.0714,0.9228,0.0,0.5133,0.0,0.1845
1309994,0.3001,-0.0683,0.9234,0.0,0.5101,0.0,0.1829
1310011,0.3085,-0.069,0.9219,0.0,0.5085,0.0,0.1797
1310027,0.3139,-0.0713,0.9206,0.0,0.5101,0.0,0.1781
1310044,0.3106,-0.0743,0.9215,0.0,0.5133,0.0,0.1837
1310060,0.3075,-0.0724,0.917,0.0,0.519,0.0,0.1845
1310076,0.3013,-0.0703,0.9196,0.0,0.5109,0.0,0.1845
1310093,0.3035,-0.0707,0.9227,0.0,0.5117,0.0,0.1756
1310110,0.3061,-0.068,0.9202,0.0,0.5109,0.0,0.1813
1310127,0.3079,-0.0704,0.9198,0.0,0.5101,0.0,0.1764
1310143,0.3044,-0.0727,0.9194,0.0,0.5117,0.0,0.1781
1310160,0.3016,-0.0723,0.9232,0.0,0.5117,0.0,0.1829
1310176,0.3014,-0.0716,0.9217,0.0,0.5117,0.0,0.1861
1310193,0.309,-0.0731,0.918,0.0,0.5093,0.0,0.1797
1310209,0.3109,-0.0726,0.9156,0.0,0.5061,0.0,0.1764
1310226,0.3034,-0.0739,0.9181,0.0,0.5061,0.0,0.1789
1310242,0.3027,-0.0703,0.921,0.0,0.5101,0.0,0.1837
1310259,0.3044,-0.0691,0.9213,0.0,0.5093,0.0,0.1797
1310275,0.3104,-0.0689,0.9185,0.0,0.5061,0.0,0.1829
1310292,0.3127,-0.0702,0.9172,0.0,0.5028,0.0,0.1789
1310308,0.305,-0.0719,0.9195,0.0,0.5004,0.0,0.1781
1310324,0.3013,-0.0709,0.9199,0.0,0.5069,0.0,0.1789
1310341,0.3042,-0.0716,0.9218,0.0,0.5045,0.0,0.1829
1310357,0.3075,-0.0712,0.9179,0.0,0.502,0.0,0.1845
1310374,0.3069,-0.0731,0.917,0.0,0.502,0.0,0.1821
1310390,0.3053,-0.0715,0.9159,0.0,0.5028,0.0,0.1837
1310407,0.3025,-0.0719,0.9219,0.0,0.4988,0.0,0.1789
1310423,0.3061,-0.0724,0.9216,0.0,0.5061,0.0,0.1837
1310440,0.3076,-0.0724,0.921,0.0,0.5085,0.0,0.1869
1310456,0.3108,-0.0712,0.9189,0.0,0.5045,0.0,0.1756
1310473,0.3044,-0.0707,0.9213,0.0,0.5004,0.0,0.1797
1310489,0.3035,-0.0709,0.9185,0.0,0.5061,0.0,0.1797
1310505,0.3075,-0.0721,0.9193,0.0,0.5069,0.0,0.1781
1310522,0.3071,-0.072,0.9217,0.0,0.5125,0.0,0.1797
1310538,0.3074,-0.0714,0.9224,0.0,0.5109,0.0,0.1853
1310554,0.3059,-0.0707,0.9207,0.0,0.5133,0.0,0.1829
1310571,0.3019,-0.0692,0.9198,0.0,0.502,0.0,0.1756
1310587,0.3042,-0.071,0.919,0.0,0.5133,0.0,0.1772
1310604,0.3075,-0.0709,0.9184,0.0,0.523,0.0,0.1829
1310620,0.3067,-0.0705,0.9205,0.0,0.5149,0.0,0.1829
1310636,0.3031,-0.0696,0.9221,0.0,0.519,0.0,0.1837
1310653,0.3067,-0.0722,0.9199,0.0,0.5149,0.0,0.1821
1310669,0.307,-0.0714,0.9181,0.0,0.5182,0.0,0.1813
1310686,0.3068,-0.0725,0.9172,0.0,0.5133,0.0,0.1829
1310702,0.3018,-0.0725,0.9185,0.0,0.5214,0.0,0.1861
1310718,0.306,-0.0714,0.9182,0.0,0.5214,0.0,0.1869
1310735,0.3017,-0.0681,0.9203,0.0,0.5182,0.0,0.1877
1310751,0.3065,-0.0702,0.9212,0.0,0.5141,0.0,0.1829
1310768,0.3035,-0.0709,0.9214,0.0,0.5206,0.0,0.1781
1310784,0.304,-0.0682,0.9196,0.0,0.5214,0.0,0.1813
1310800,0.3034,-0.072,0.921,0.0,0.5262,0.0,0.1845
1310817,0.3044,-0.0715,0.9201,0.0,0.5222,0.0,0.1837
1310833,0.3039,-0.0708,0.9207,0.0,0.519,0.0,0.1813
1310850,0.3077,-0.0692,0.9202,0.0,0.5141,0.0,0.1789
