t_ms,ax,ay,az,emg_env,emg_raw
1354314,0.13903,-0.19118,0.94604,0.3956,0.2691
1354330,0.14285,-0.19374,0.943,0.0,0.0508
1354346,0.14489,-0.19728,0.94291,0.0,0.0
1354362,0.14746,-0.19358,0.93944,0.0,0.2426
1354378,0.14515,-0.19367,0.94058,0.2909,0.4053
1354394,0.14479,-0.19648,0.94159,0.3924,0.2893
1354410,0.14515,-0.19554,0.94088,0.0782,0.0959
1354427,0.1477,-0.18963,0.94128,0.0,0.0
1354443,0.14368,-0.19033,0.94323,0.0,0.2006
1354459,0.14231,-0.19902,0.94296,0.2498,0.3908
1354475,0.14265,-0.19915,0.9435,0.394,0.3247
1354491,0.14433,-0.19883,0.94326,0.2144,0.1281
1354507,0.14532,-0.19669,0.94159,0.0,0.0
1354523,0.14009,-0.19579,0.94527,0.0,0.1724
1354539,0.14494,-0.19896,0.94071,0.2038,0.3795
1354555,0.14444,-0.19923,0.94098,0.4287,0.3545
1354572,0.14185,-0.19767,0.94276,0.2764,0.1732
1354588,0.14058,-0.20202,0.94299,0.0,0.0
1354604,0.14251,-0.19748,0.94284,0.0,0.1386
1354619,0.141,-0.2006,0.94308,0.2103,0.3795
1354635,0.1438,-0.19749,0.94281,0.4215,0.3594
1354652,0.14179,-0.19536,0.94408,0.278,0.1764
1354668,0.14174,-0.19014,0.94454,0.0,0.0
1354684,0.14199,-0.1904,0.94508,0.0,0.1354
1354699,0.14398,-0.19772,0.94246,0.199,0.3779
1354715,0.1474,-0.1958,0.94167,0.4231,0.3658
1354732,0.14761,-0.19796,0.93986,0.2909,0.1781
1354748,0.14905,-0.19661,0.94081,0.0,0.0
1354764,0.14866,-0.18942,0.94171,0.0,0.1345
1354780,0.14413,-0.19694,0.94253,0.17,0.3545
1354796,0.14439,-0.20079,0.93958,0.4199,0.3989
1354812,0.14804,-0.19833,0.93882,0.357,0.2216
1354828,0.14249,-0.19455,0.94413,0.0,0.0137
1354844,0.14573,-0.1942,0.94286,0.0,0.0806
1354861,0.14434,-0.19746,0.94113,0.079,0.3135
1354877,0.14726,-0.1936,0.94106,0.4037,0.4199
1354893,0.14671,-0.19176,0.94231,0.3827,0.2466
1354909,0.15712,-0.18452,0.93594,0.0,0.0371
1354925,0.14613,-0.19383,0.94363,0.0,0.0306
1354941,0.13981,-0.1921,0.94709,0.0081,0.2796
1354957,0.13718,-0.19507,0.94898,0.3537,0.4239
1354973,0.14036,-0.20304,0.94456,0.3989,0.2796
1354990,0.14436,-0.20304,0.93656,0.0,0.0588
1355006,0.13993,-0.19871,0.94413,0.0,0.0
1355022,0.14188,-0.197,0.94516,0.0,0.2385
1355038,0.14442,-0.19514,0.94088,0.2901,0.3981
1355054,0.1443,-0.19744,0.94013,0.3908,0.2957
1355070,0.14414,-0.20283,0.93776,0.1184,0.1055
1355086,0.14212,-0.19901,0.94323,0.0,0.0
1355102,0.14051,-0.19998,0.9443,0.0,0.1909
1355118,0.14526,-0.20074,0.94188,0.2426,0.3892
1355135,0.14662,-0.19956,0.93941,0.3948,0.3312
1355151,0.14446,-0.19586,0.94281,0.2256,0.141
1355167,0.14576,-0.19453,0.94078,0.0,0.0
1355182,0.14363,-0.19305,0.94466,0.0,0.1926
1355198,0.14345,-0.19587,0.94387,0.2434,0.3844
1355215,0.14408,-0.19673,0.9433,0.4223,0.3239
1355231,0.14374,-0.19537,0.94517,0.2264,0.1402
1355247,0.14457,-0.19907,0.94416,0.0,0.0
1355262,0.14501,-0.19912,0.9408,0.0,0.1926
1355278,0.14482,-0.19604,0.9443,0.249,0.3892
1355295,0.14394,-0.19447,0.94239,0.3884,0.3159
1355311,0.14276,-0.18906,0.93998,0.2281,0.145
1355327,0.14852,-0.19693,0.93941,0.0,0.0
1355342,0.14685,-0.20055,0.93989,0.0,0.1958
