t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1033823,0.1053,-0.0014,0.9643,0.0,0.531,0.0,0.17
1033839,0.1027,0.0084,0.9339,0.0,0.5335,0.0,0.1748
1033855,0.1082,0.012,0.9455,0.0,0.531,0.0,0.1732
1033871,0.1072,0.0329,0.9738,0.0,0.527,0.0,0.1636
1033888,0.0948,-0.0119,0.9804,0.0,0.5278,0.0,0.1708
1033904,0.0943,-0.0153,0.9548,0.0,0.5327,0.0,0.1676
1033921,0.108,0.0258,0.9677,0.0,0.5343,0.0,0.1716
1033937,0.0927,-0.0004,0.9551,0.0,0.5335,0.0,0.1748
1033954,0.1053,0.0144,0.9786,0.0,0.5318,0.0,0.1708
1033970,0.0948,-0.0054,0.9278,0.0,0.5327,0.0,0.1652
1033986,0.0931,-0.0106,0.9402,0.0,0.5254,0.0,0.1716
1034002,0.092,0.0117,0.9836,0.0,0.5254,0.0,0.1668
1034019,0.0897,0.0064,0.9714,0.0,0.531,0.0,0.1732
1034035,0.0877,-0.0186,0.8922,0.0,0.5327,0.0,0.1716
1034052,0.0982,-0.0031,0.9042,0.0,0.5294,0.0,0.1668
1034068,0.11,0.0273,1.0371,0.0,0.5254,0.0,0.17
1034085,0.1031,-0.0002,0.9189,0.0,0.5327,0.0,0.1692
1034101,0.1011,0.0111,1.0308,0.0,0.5327,0.0,0.17
1034117,0.1086,0.0149,0.985,0.0,0.531,0.0,0.1748
1034133,0.0986,0.0163,0.9105,0.0,0.5278,0.0,0.17
1034150,0.1112,-0.0125,0.9869,0.0,0.5335,0.0,0.1644
1034166,0.1057,0.0214,0.9266,0.0,0.5246,0.0,0.17
